0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
-93.436,-119.507,-114.649,-118.546,-123.262,-121.815,-116.942,-130.685,-126.593,-134.409,-130.533,-133.965,-123.513,-123.489,-126.108,-128.662,-124.79,-126.423,-123.743,-101.11,-109.95,-114.306,-119.513,-121.009,-119.71,-116.093,-127.582,-126.066,-128.262,-127.022,-128.864,-128.029,-130.972,-129.868,-130.62,-126.854,-128.132,-125.712,-100.674,-112.484,-117.964,-121.426,-121.049,-121.954,-118.308,-128.292,-125.079,-127.147,-126.36,-131.416,-129.289,-129.529,-128.385,-129.758,-126.338,-127.343,-124.211,-94.8611,-111.3,-114.661,-119.504,-123.718,-118.315,-114.219,-127.075,-124.152,-128.377,-125.685,-128.786,-127.491,-129.595,-127.78,-130.32,-125.283,-126.399,-122.977
-92.4469,-124.896,-118.194,-119.838,-124.556,-121.4,-119.568,-121.9,-129.317,-129.386,-118.848,-125.645,-126.12,-131.795,-121.252,-128.882,-135.699,-129.89,-133.5,-99.5823,-117.076,-114.178,-113.998,-115.601,-119.768,-120.037,-130.308,-128.014,-128.641,-125.52,-126.234,-124.737,-128.594,-128.208,-130.055,-127.854,-130.085,-128.854,-99.5896,-118.559,-118.132,-116.445,-115.819,-121.636,-121.51,-130.826,-126.876,-127.294,-124.574,-129.316,-126.23,-126.763,-126.772,-129.18,-127.296,-129.636,-127.573,-97.3926,-117.899,-116.533,-114.433,-119.625,-118.251,-118.8,-129.753,-126.479,-128.563,-124.356,-126.28,-124.006,-126.947,-125.985,-130.023,-126.538,-128.734,-126.637
-101.228,-116.432,-117.416,-121.899,-120.793,-124.924,-120.373,-130.267,-123.009,-118.836,-126.841,-122.528,-126.734,-128.736,-124.674,-132.477,-125.942,-127.878,-119.564,-103.554,-108.263,-114.061,-120.063,-121.749,-120.233,-115.997,-127.069,-125.565,-128.016,-127.063,-129.12,-128.421,-131.379,-130.276,-130.922,-127.006,-128.039,-125.235,-103.174,-111.063,-117.67,-121.943,-121.798,-122.438,-118.288,-127.795,-124.585,-126.928,-126.439,-131.61,-129.679,-129.972,-128.821,-130.077,-126.51,-127.174,-123.747,-98.4908,-109.76,-114.053,-119.987,-124.36,-118.913,-114.066,-126.535,-123.57,-128.163,-125.686,-129.017,-127.935,-130.039,-128.241,-130.596,-125.429,-126.25,-122.431
-104.04,-122.556,-116.447,-109.46,-113.564,-113.484,-125.095,-127.974,-125.524,-122.78,-122.809,-127.932,-121.592,-126.171,-121.002,-134.825,-126.596,-129.863,-134.019,-104.87,-121.975,-119.831,-114.313,-108.454,-117.275,-121.327,-132.524,-130.858,-131.055,-127.259,-126.045,-122.899,-125.397,-124.895,-127.817,-126.991,-130.438,-130.761,-105.18,-123.162,-122.633,-115.76,-108.119,-118.821,-122.275,-133.055,-129.897,-129.816,-126.254,-129.274,-124.029,-123.287,-123.238,-126.84,-126.343,-130.336,-129.417,-107.105,-122.606,-121.851,-115.633,-113.504,-115.56,-120.506,-132.163,-129.595,-130.908,-126.52,-126.365,-121.371,-123.377,-122.182,-128.032,-125.827,-129.375,-128.756
-111.88,-122.5,-122.023,-107.174,-113.931,-116.814,-131.897,-135.807,-131.383,-133.449,-121.407,-116.726,-120.168,-120.04,-125.984,-128.059,-130.434,-128.047,-131.24,-110.391,-121.7,-115.666,-105.695,-109.562,-122.115,-123.994,-132.434,-129.556,-128.895,-123.835,-122.936,-120.616,-126.538,-127.51,-130.476,-129.674,-132.207,-131.393,-110.499,-122.69,-119.026,-109.062,-110.553,-123.357,-125.027,-132.8,-128.335,-127.371,-122.564,-126.746,-122.601,-124.171,-126.341,-129.667,-129.144,-131.927,-130.329,-110.364,-122.276,-118.934,-107.463,-115.949,-120.848,-123.121,-131.823,-128.321,-128.639,-122.965,-123.157,-119.772,-124.616,-125.42,-130.701,-128.629,-131.118,-129.541
-93.5348,-118.17,-124.538,-124.599,-121.842,-127.774,-113.067,-133.17,-127.156,-131.184,-123.264,-123.397,-120.167,-130.737,-128.89,-142.437,-123.688,-129.255,-124.632,-103.59,-108.788,-113.307,-119.508,-121.448,-120.521,-116.705,-127.266,-125.504,-127.791,-126.701,-128.8,-128.132,-131.268,-130.279,-131.035,-127.297,-128.378,-125.585,-103.226,-111.414,-117.122,-121.463,-121.527,-122.665,-118.888,-127.951,-124.469,-126.66,-126.055,-131.333,-129.433,-129.825,-128.847,-130.196,-126.805,-127.539,-124.162,-98.3502,-110.213,-113.496,-119.411,-124.162,-119.206,-114.873,-126.687,-123.523,-127.922,-125.3,-128.69,-127.665,-129.912,-128.254,-130.738,-125.761,-126.635,-122.864
-98.0128,-108.965,-122.959,-121.572,-125.17,-122.716,-123.66,-128.274,-121.356,-128.023,-126.41,-129.955,-125.261,-130.58,-123.367,-129.451,-127.079,-127.469,-127.493,-106.413,-107.664,-111.59,-119.324,-121.91,-121.631,-117.806,-126.966,-124.729,-127.06,-126.124,-128.591,-128.158,-131.603,-130.799,-131.602,-127.982,-128.852,-125.613,-106.122,-110.253,-115.716,-121.353,-122.045,-123.634,-119.89,-127.592,-123.597,-125.885,-125.496,-131.115,-129.525,-130.147,-129.437,-130.794,-127.517,-127.966,-124.327,-102.113,-109.118,-111.586,-119.101,-124.658,-120.409,-116.079,-126.265,-122.664,-127.205,-124.624,-128.437,-127.792,-130.268,-128.855,-131.322,-126.505,-127.122,-122.964
-95.3651,-117.393,-113.642,-117.969,-124.783,-124.173,-121.711,-124.908,-123.754,-133.26,-126.358,-131.671,-127.384,-130.714,-131.645,-133.155,-132.725,-133.738,-133.543,-107.165,-111.278,-108.521,-116.804,-120.573,-122.435,-119.971,-128.038,-124.967,-126.408,-124.663,-127.204,-126.869,-131.036,-130.657,-131.87,-128.883,-130.012,-127.086,-106.955,-113.06,-113.743,-119.196,-120.833,-124.248,-121.744,-128.52,-123.638,-125.036,-123.915,-129.94,-128.418,-129.435,-129.373,-131.081,-128.418,-129.245,-125.97,-103.328,-112.336,-110.122,-116.471,-123.736,-121.22,-118.512,-127.229,-123.054,-126.461,-123.082,-127.031,-126.579,-129.634,-128.742,-131.695,-127.53,-128.447,-124.727
-89.9387,-117.615,-118.455,-109.793,-115.278,-124.129,-114.648,-125.138,-126.056,-126.843,-126.304,-129.095,-127.086,-132.289,-128.114,-132.124,-130.386,-130.37,-124.274,-102.948,-111.121,-111.921,-117.809,-120.269,-120.861,-118.196,-128.044,-125.783,-127.515,-125.879,-127.897,-127.204,-130.752,-130.026,-131.089,-127.823,-129.141,-126.619,-102.632,-113.247,-116.225,-119.979,-120.418,-122.884,-120.132,-128.637,-124.636,-126.27,-125.152,-130.581,-128.609,-129.203,-128.631,-130.256,-127.325,-128.398,-125.31,-97.4407,-112.307,-112.946,-117.709,-123.3,-119.523,-116.581,-127.4,-123.902,-127.585,-124.458,-127.793,-126.75,-129.336,-127.995,-130.871,-126.374,-127.521,-124.1
-99.694,-116.26,-115.631,-119.142,-123.636,-120.8,-114.588,-129.66,-124.848,-127.499,-128.531,-122.748,-129.474,-137.554,-125.683,-130.037,-125.086,-127.311,-126.479,-105.78,-112.297,-109.387,-116.266,-119.866,-121.993,-119.887,-128.417,-125.496,-126.772,-124.755,-127.018,-126.524,-130.669,-130.289,-131.585,-128.696,-129.997,-127.361,-105.57,-114.044,-114.443,-118.705,-120.126,-123.827,-121.631,-128.908,-124.2,-125.397,-123.967,-129.817,-128.073,-129.035,-128.981,-130.783,-128.217,-129.28,-126.208,-101.693,-113.319,-111.287,-116.022,-123.145,-120.73,-118.445,-127.658,-123.655,-126.799,-123.238,-126.876,-126.178,-129.232,-128.329,-131.429,-127.343,-128.462,-125.017
