col1,node,x,y,OPERATOR,LEVEL0 BS,LEVEL1 BS
0,BS1,0,0,0,-1,-1
1,BS1,0,0,0,-1,-1
2,BS1,0,0,0,-1,-1
3,BS1,999.364,0,0,-1,-1
4,BS1,999.364,0,0,-1,-1
5,BS1,999.364,0,0,-1,-1
6,BS1,499.682,-865.5,0,-1,-1
7,BS1,499.682,-865.5,0,-1,-1
8,BS1,499.682,-865.5,0,-1,-1
9,BS1,-499.682,-865.5,0,-1,-1
10,BS1,-499.682,-865.5,0,-1,-1
11,BS1,-499.682,-865.5,0,-1,-1
12,BS1,-999.364,0,0,-1,-1
13,BS1,-999.364,0,0,-1,-1
14,BS1,-999.364,0,0,-1,-1
15,BS1,-499.682,865.5,0,-1,-1
16,BS1,-499.682,865.5,0,-1,-1
17,BS1,-499.682,865.5,0,-1,-1
18,BS1,499.682,865.5,0,-1,-1
19,BS1,499.682,865.5,0,-1,-1
20,BS1,499.682,865.5,0,-1,-1
21,BS1,1998.73,0,0,-1,-1
22,BS1,1998.73,0,0,-1,-1
23,BS1,1998.73,0,0,-1,-1
24,BS1,1499.05,-865.5,0,-1,-1
25,BS1,1499.05,-865.5,0,-1,-1
26,BS1,1499.05,-865.5,0,-1,-1
27,BS1,999.364,-1731,0,-1,-1
28,BS1,999.364,-1731,0,-1,-1
29,BS1,999.364,-1731,0,-1,-1
30,BS1,0,-1731,0,-1,-1
31,BS1,0,-1731,0,-1,-1
32,BS1,0,-1731,0,-1,-1
33,BS1,-999.364,-1731,0,-1,-1
34,BS1,-999.364,-1731,0,-1,-1
35,BS1,-999.364,-1731,0,-1,-1
36,BS1,-1499.05,-865.5,0,-1,-1
37,BS1,-1499.05,-865.5,0,-1,-1
38,BS1,-1499.05,-865.5,0,-1,-1
39,BS1,-1998.73,0,0,-1,-1
40,BS1,-1998.73,0,0,-1,-1
41,BS1,-1998.73,0,0,-1,-1
42,BS1,-1499.05,865.5,0,-1,-1
43,BS1,-1499.05,865.5,0,-1,-1
44,BS1,-1499.05,865.5,0,-1,-1
45,BS1,-999.364,1731,0,-1,-1
46,BS1,-999.364,1731,0,-1,-1
47,BS1,-999.364,1731,0,-1,-1
48,BS1,0,1731,0,-1,-1
49,BS1,0,1731,0,-1,-1
50,BS1,0,1731,0,-1,-1
51,BS1,999.364,1731,0,-1,-1
52,BS1,999.364,1731,0,-1,-1
53,BS1,999.364,1731,0,-1,-1
54,BS1,1499.05,865.5,0,-1,-1
55,BS1,1499.05,865.5,0,-1,-1
