col1,node,x,y,m1,m2
1,BS1,67.4248,-105.968,10,5
2,BS1,902.899,-174.86,10,5
3,BS1,508.544,-796.852,10,5
4,BS1,-522.445,-599.239,10,5
5,BS1,-891.846,146.597,10,5
6,BS1,-590.006,772.449,10,5
7,BS1,338.377,857.622,10,5
8,BS1,1914.88,-56.6006,10,5
9,BS1,1187.55,-877.559,10,5
10,BS1,964.107,-1378.95,10,5
11,BS1,98.0506,-1489.92,10,5
12,BS1,-749.29,-1363.82,10,5
13,BS1,-1228.93,-644.513,10,5
14,BS1,-1686.78,48.0323,10,5
15,BS1,-1205.57,749.369,10,5
16,BS1,-1048.6,1485.13,10,5
17,BS1,-82.6834,1429.26,10,5
18,BS1,771.986,1389.85,10,5
19,BS1,1101.9,757.951,10,5
20,BS2,-46.3682,169.423,10,5
21,BS2,692.983,-29.3513,10,5
22,BS2,280.065,-639.221,10,5
23,BS2,-457.673,-633.855,10,5
24,BS2,-797.975,-179.259,10,5
25,BS2,-256.552,832.699,10,5
26,BS2,375.11,740.46,10,5
27,BS2,1789.85,152.259,10,5
28,BS2,1390.13,-825.169,10,5
29,BS2,892.031,-1488.9,10,5
30,BS2,-48.474,-1486.81,10,5
31,BS2,-851.503,-1303.49,10,5
32,BS2,-1148.25,-856.36,10,5
33,BS2,-1747.36,146.132,10,5
34,BS2,-1422.47,873.148,10,5
35,BS2,-1028.92,1487.14,10,5
36,BS2,-38.8595,1492.18,10,5
37,BS2,687.569,1573.73,10,5
38,BS2,1453.02,678.478,10,5
39,BS3,-36.7485,167.902,10,5
40,BS3,790.132,-91.684,10,5
41,BS3,401.99,-825.348,10,5
42,BS3,-607.494,-681.045,10,5
43,BS3,-811.129,-101.008,10,5
44,BS3,-408.092,937.389,10,5
45,BS3,335.283,883.858,10,5
46,BS3,1879.74,-41.4488,10,5
47,BS3,1197.06,-904.774,10,5
48,BS3,687.45,-1428.74,10,5
49,BS3,-145.002,-1392.46,10,5
50,BS3,-942.671,-1674.82,10,5
51,BS3,-1391.35,-739.799,10,5
52,BS3,-1549.45,-58.9945,10,5
53,BS3,-1186.43,900.238,10,5
54,BS3,-949.097,1398.15,10,5
55,BS3,-77.4764,1427.61,10,5
56,BS3,890.873,1391.93,10,5
57,BS3,1209.12,781.069,10,5
58,BS4,40.206,97.1229,10,5
59,BS4,744.959,-44.822,10,5
60,BS4,525.163,-583.332,10,5
61,BS4,-376.391,-707.123,10,5
62,BS4,-1040.34,4.99195,10,5
63,BS4,-240.496,731.5,10,5
64,BS4,383.435,636.55,10,5
65,BS4,1731.83,-121.435,10,5
66,BS4,1272.6,-657.3,10,5
67,BS4,780.732,-1550.06,10,5
68,BS4,98.4984,-1360.06,10,5
69,BS4,-740.403,-1373.65,10,5
70,BS4,-1210.28,-601.904,10,5
71,BS4,-1558.04,87.9903,10,5
72,BS4,-1162.36,796.811,10,5
73,BS4,-822.178,1587.65,10,5
74,BS4,50.6432,1336.47,10,5
75,BS4,757.034,1336.22,10,5
76,BS4,1187.42,616.059,10,5
77,UE1,220.293,-4.19885,10,5
78,UE1,-71.2992,-123.679,10,5
79,UE1,272.148,-9.77961,10,5
80,UE1,-372.021,2.69127,10,5
81,UE1,-321.888,-299.18,10,5
82,UE1,255.566,-42.293,10,5
83,UE1,293.438,-105.977,10,5
84,UE1,203.857,-218.899,10,5
85,UE1,183.665,-107.576,10,5
86,UE1,159.808,-203.68,10,5
87,UE1,547.643,-93.4083,10,5
88,UE1,-109.033,-224.102,10,5
89,UE1,229.868,161.492,10,5
90,UE1,454.183,-341.217,10,5
91,UE1,-167.84,181.733,10,5
92,UE1,-227.916,-266.958,10,5
93,UE1,6.9231,-251.74,10,5
94,UE1,-359.562,-189.669,10,5
95,UE1,-99.2078,363.383,10,5
96,UE1,-347.262,-323.772,10,5
97,UE1,61.967,-502.45,10,5
98,UE1,489.139,-10.532,10,5
99,UE1,307.668,-522.654,10,5
100,UE1,386.209,-431.753,10,5
101,UE1,495.052,-161.535,10,5
102,UE1,474.677,-388.89,10,5
103,UE1,-108.457,-411.55,10,5
104,UE1,301.843,284.61,10,5
105,UE1,173.739,-195.108,10,5
106,UE1,-79.3162,-307.16,10,5
107,UE1,-96.9851,-279.904,10,5
108,UE1,-18.5062,-373.984,10,5
109,UE1,-46.8307,105.698,10,5
110,UE1,422.84,72.7715,10,5
111,UE1,133.902,291.981,10,5
112,UE1,-424.28,-139.032,10,5
113,UE1,-1.90752,256.964,10,5
114,UE1,35.1318,-271.126,10,5
115,UE1,-311.297,-37.375,10,5
116,UE1,382.837,-221.052,10,5
117,UE1,-170.267,288.27,10,5
118,UE1,41.3741,-94.6002,10,5
119,UE1,-149.879,214.031,10,5
120,UE1,188.212,-315.451,10,5
121,UE1,-89.3981,-416.039,10,5
122,UE1,-206.913,-74.6961,10,5
123,UE1,17.0147,-313.568,10,5
124,UE1,-5.45817,-175.998,10,5
125,UE1,-290.252,108.656,10,5
126,UE1,-116.209,-460.494,10,5
127,UE1,-55.6839,70.0998,10,5
128,UE1,-239.086,-356.649,10,5
129,UE1,32.8174,-390.39,10,5
130,UE1,53.9252,-330.403,10,5
131,UE1,431.136,-303.207,10,5
132,UE1,-77.5775,-314.032,10,5
133,UE1,-77.5342,-135.931,10,5
134,UE1,36.5579,361.358,10,5
135,UE1,7.62189,-246.889,10,5
136,UE1,297.549,87.5346,10,5
137,UE1,-273.826,-284.435,10,5
138,UE1,-67.0812,-338.568,10,5
139,UE1,110.706,-370.962,10,5
140,UE1,-37.0727,85.1289,10,5
141,UE1,97.1911,-108.902,10,5
142,UE1,201.954,-360.471,10,5
143,UE1,192.495,199.78,10,5
144,UE1,530.633,-229.138,10,5
145,UE1,106.431,-522.198,10,5
146,UE1,367.219,179.637,10,5
147,UE1,-260.453,187.4,10,5
148,UE1,515.722,-273.593,10,5
149,UE1,213.299,-278.037,10,5
150,UE1,167.69,-462.279,10,5
151,UE1,-71.8281,348.831,10,5
152,UE1,461.53,-357.317,10,5
153,UE1,-312.088,-101.542,10,5
154,UE1,203.793,117.373,10,5
155,UE1,298.753,-369.762,10,5
156,UE1,-381.31,-1.69584,10,5
157,UE1,-202.236,-99.1509,10,5
158,UE1,242.526,268.711,10,5
159,UE1,41.2117,-290.569,10,5
160,UE1,-212.348,-317.706,10,5
161,UE1,291.198,-467.891,10,5
162,UE1,170.118,106.035,10,5
163,UE1,-106.679,-104.355,10,5
164,UE1,261.318,123.196,10,5
165,UE1,-151.183,324.363,10,5
166,UE1,398.371,-320.44,10,5
167,UE1,302.095,-492.571,10,5
168,UE1,-221.871,-98.831,10,5
169,UE1,-252.199,144.129,10,5
170,UE1,-129.738,-266.758,10,5
171,UE1,145.738,3.59155,10,5
172,UE1,380.799,146.22,10,5
173,UE1,-108.326,96.9578,10,5
174,UE1,-6.44697,25.6759,10,5
175,UE1,-366.403,107.145,10,5
176,UE1,-155.484,-235.107,10,5
177,UE1,676.36,-200.18,10,5
178,UE1,597.595,-290.358,10,5
179,UE1,1054.07,-450.08,10,5
180,UE1,913.073,110.446,10,5
181,UE1,851.225,-571.084,10,5
182,UE1,1192.37,-202.509,10,5
183,UE1,1050.44,-285.547,10,5
184,UE1,871.755,-155.311,10,5
185,UE1,994.24,-605.271,10,5
186,UE1,857.014,-11.883,10,5
187,UE1,1184.73,-492.382,10,5
188,UE1,1222.12,-72.9942,10,5
189,UE1,1322.07,-210.588,10,5
190,UE1,986.647,158.996,10,5
191,UE1,1004.36,-289.685,10,5
192,UE1,1153.71,6.30266,10,5
193,UE1,773.387,209.206,10,5
194,UE1,968.736,-343.949,10,5
195,UE1,1012.47,-138.108,10,5
196,UE1,476.567,-58.8496,10,5
197,UE1,784.496,-485.699,10,5
198,UE1,1184.24,86.3973,10,5
199,UE1,582.457,-347.462,10,5
200,UE1,654.163,-344.004,10,5
201,UE1,745.224,269.346,10,5
202,UE1,699.079,-144.655,10,5
203,UE1,623.163,-405.477,10,5
204,UE1,619.689,-437.236,10,5
205,UE1,949.589,278.209,10,5
206,UE1,1045.09,-107.85,10,5
207,UE1,1085.64,-269.82,10,5
208,UE1,667.032,-147.67,10,5
209,UE1,1027.98,-413.738,10,5
210,UE1,610.627,191.4,10,5
211,UE1,650.956,199.642,10,5
212,UE1,851.404,-255.048,10,5
213,UE1,882.207,265.749,10,5
214,UE1,581.579,-500.097,10,5
215,UE1,818.905,44.679,10,5
216,UE1,1028.43,195.749,10,5
217,UE1,1219.77,86.3801,10,5
218,UE1,988.282,-590.282,10,5
219,UE1,1000.1,126.552,10,5
220,UE1,770.831,126.902,10,5
221,UE1,939.892,133.472,10,5
222,UE1,710.398,-215.162,10,5
223,UE1,846.147,-195.452,10,5
224,UE1,677.291,36.4281,10,5
