0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227
-100.884,-116.399,-116.399,-131.851,-117.51,-131.851,-122.416,-131.955,-131.955,-130.0,-143.694,-143.694,-137.937,-144.966,-142.284,-146.067,-146.067,-132.677,-122.78,-120.42,-113.852,-155.739,-142.393,-155.739,-146.183,-136.541,-146.183,-145.361,-150.469,-152.181,-140.569,-152.689,-152.689,-138.559,-151.696,-151.696,-141.312,-152.42,-152.42,-143.617,-149.149,-146.051,-150.02,-150.02,-140.269,-145.769,-145.769,-132.681,-144.324,-144.324,-131.84,-153.236,-150.082,-147.285,-144.573,-144.573,-144.573,-121.604,-130.282,-125.213,-135.793,-121.031,-135.793,-131.721,-143.579,-143.579,-133.396,-147.043,-147.043,-141.429,-145.197,-139.073,-145.473,-145.473,-132.904,-138.19,-130.337,-134.862,-151.197,-137.884,-151.197,-148.345,-141.655,-149.343,-145.463,-147.465,-150.987,-139.642,-151.836,-151.836,-141.346,-154.411,-154.411,-139.745,-151.384,-151.384,-148.511,-154.769,-152.591,-153.617,-153.617,-143.786,-153.862,-153.862,-141.145,-146.549,-146.549,-133.393,-148.903,-146.462,-142.217,-142.758,-142.758,-142.758,-111.294,-127.04,-127.04,-138.262,-123.731,-138.262,-134.688,-142.318,-143.256,-127.23,-141.29,-141.29,-142.081,-145.862,-139.856,-139.781,-139.781,-127.151,-132.578,-130.216,-122.633,-149.487,-136.1,-149.487,-147.35,-138.627,-147.35,-144.889,-152.069,-152.569,-141.604,-153.806,-153.806,-140.556,-153.755,-153.755,-141.264,-153.197,-153.197,-116.244,-122.353,-119.795,-149.517,-149.517,-139.189,-150.458,-150.458,-137.419,-146.669,-146.669,-133.383,-151.934,-148.297,-146.625,-145.62,-145.62,-145.62,-116.534,-129.571,-129.571,-107.074,-92.6978,-107.074,-137.303,-144.176,-145.375,-133.8,-147.289,-147.289,-136.46,-144.55,-143.196,-138.844,-138.844,-125.228,-139.934,-139.934,-129.546,-149.195,-135.709,-149.195,-149.544,-140.602,-149.544,-147.239,-148.437,-152.299,-139.674,-152.005,-152.005,-141.049,-154.09,-154.09,-141.365,-152.576,-152.576,-149.43,-154.491,-150.881,-152.438,-152.438,-143.542,-153.271,-153.271,-140.218,-146.713,-146.713,-133.944,-150.367,-149.691,-142.578,-144.415,-144.415,-144.415
-117.105,-131.87,-131.87,-128.96,-120.592,-129.851,-141.499,-152.139,-152.139,-149.273,-162.692,-162.692,-135.808,-146.365,-146.365,-130.743,-131.514,-122.228,-129.512,-120.72,-119.774,-159.013,-146.727,-159.013,-140.341,-136.396,-142.785,-146.425,-154.64,-154.64,-143.662,-155.713,-155.713,-149.689,-162.717,-162.717,-155.219,-167.235,-167.235,-147.918,-156.077,-156.077,-157.194,-159.574,-153.147,-148.062,-148.062,-135.792,-143.484,-143.484,-129.833,-145.1,-140.193,-139.998,-156.549,-156.549,-156.549,-124.314,-137.985,-137.985,-135.725,-123.637,-135.725,-137.226,-149.143,-149.143,-138.344,-151.622,-151.622,-138.353,-147.156,-147.156,-144.043,-144.043,-134.967,-127.604,-112.747,-127.604,-151.043,-138.596,-151.043,-116.702,-116.922,-121.291,-146.654,-153.471,-154.104,-143.32,-155.426,-155.426,-144.324,-157.34,-157.34,-141.972,-154.356,-154.356,-147.555,-156.181,-156.181,-152.159,-153.458,-146.414,-152.205,-152.205,-140.587,-141.144,-141.144,-126.944,-143.234,-139.073,-137.113,-139.789,-139.789,-139.789,-125.894,-139.614,-139.614,-139.119,-127.797,-139.119,-138.479,-148.514,-148.514,-133.742,-147.364,-147.364,-139.084,-147.731,-147.731,-134.055,-139.191,-133.119,-103.418,-91.8904,-94.6827,-149.515,-137.299,-149.515,-146.198,-145.339,-150.355,-146.81,-155.644,-155.644,-144.905,-157.021,-157.021,-143.823,-156.869,-156.869,-143.49,-155.961,-155.961,-145.944,-154.686,-154.686,-146.966,-149.357,-142.689,-148.345,-148.345,-136.624,-141.503,-141.503,-127.349,-147.5,-142.252,-143.169,-142.439,-142.439,-142.439,-124.977,-139.215,-139.215,-140.187,-129.092,-140.187,-140.42,-150.008,-150.008,-138.342,-151.661,-151.661,-136.611,-147.792,-147.792,-133.246,-137.053,-129.308,-127.816,-127.816,-114.727,-148.826,-136.119,-148.826,-148.92,-146.319,-152.057,-148.144,-153.979,-155.138,-143.355,-155.566,-155.566,-144.04,-157.055,-157.055,-143.172,-155.255,-155.255,-147.915,-155.717,-155.717,-149.344,-152.647,-147.117,-151.196,-151.196,-138.881,-140.971,-140.971,-126.877,-145.199,-143.579,-137.39,-140.831,-140.831,-140.831
-121.63,-111.587,-123.668,-146.189,-132.756,-146.189,-144.591,-141.799,-148.022,-117.852,-130.904,-130.904,-111.76,-122.593,-122.593,-125.811,-125.811,-110.954,-137.051,-126.299,-137.051,-158.261,-145.206,-158.261,-160.316,-149.646,-160.316,-147.311,-145.695,-150.804,-141.103,-150.824,-150.824,-154.718,-167.69,-167.69,-131.179,-143.935,-143.935,-139.413,-146.403,-144.553,-151.862,-151.862,-140.92,-147.839,-147.839,-134.388,-147.175,-147.175,-137.688,-155.416,-147.949,-154.514,-158.491,-158.491,-158.491,-97.9739,-105.534,-112.218,-144.838,-131.005,-144.838,-139.362,-143.526,-146.219,-133.779,-146.177,-146.177,-129.995,-136.249,-130.514,-138.63,-138.63,-124.187,-143.997,-131.964,-143.997,-155.339,-142.291,-155.339,-153.279,-143.832,-153.279,-152.149,-147.372,-153.976,-142.723,-152.598,-152.598,-139.947,-153.064,-153.064,-134.888,-148.113,-148.113,-142.934,-150.724,-150.108,-149.071,-149.071,-138.236,-150.465,-150.465,-137.095,-144.899,-144.899,-134.649,-150.781,-143.48,-149.46,-147.758,-147.758,-147.758,-132.702,-125.567,-134.958,-146.408,-132.783,-146.408,-144.69,-140.83,-147.454,-126.909,-139.597,-139.597,-131.293,-137.401,-131.836,-128.7,-128.7,-112.627,-138.648,-126.709,-138.648,-154.045,-140.971,-154.045,-151.906,-141.679,-151.906,-150.482,-150.581,-154.863,-144.066,-154.344,-154.344,-139.888,-152.74,-152.74,-137.338,-150.501,-150.501,-140.745,-148.578,-147.659,-143.435,-143.435,-131.553,-146.405,-146.405,-132.715,-144.766,-144.766,-134.083,-153.679,-146.278,-152.92,-149.661,-149.661,-149.661,-112.581,-118.293,-123.569,-146.954,-133.421,-146.954,-146.169,-142.852,-149.11,-132.248,-145.49,-145.49,-124.305,-136.521,-136.521,-129.461,-129.461,-114.327,-142.381,-134.099,-140.79,-153.794,-140.616,-153.794,-153.617,-143.412,-153.617,-153.464,-148.473,-155.111,-142.509,-152.649,-152.649,-139.468,-152.64,-152.64,-136.485,-149.322,-149.322,-143.819,-150.233,-147.655,-147.362,-147.362,-137.571,-150.12,-150.12,-136.727,-145.605,-145.605,-136.257,-151.688,-145.891,-148.57,-148.676,-148.676,-148.676
-133.081,-133.181,-139.605,-148.824,-136.306,-148.824,-147.619,-147.656,-152.337,-130.636,-143.165,-143.165,-135.485,-148.547,-148.547,-124.015,-124.015,-107.557,-134.631,-121.558,-134.631,-158.79,-146.044,-158.79,-149.801,-140.091,-149.801,-157.557,-157.58,-161.819,-147.193,-156.917,-156.917,-144.203,-156.953,-156.953,-145.591,-158.661,-158.661,-135.053,-143.903,-143.903,-144.819,-144.819,-135.703,-134.698,-134.698,-121.025,-134.292,-134.292,-125.148,-149.018,-140.171,-149.018,-142.447,-142.447,-142.447,-114.436,-127.113,-127.204,-145.36,-131.93,-145.36,-141.386,-147.378,-148.824,-136.878,-148.887,-148.887,-126.124,-136.989,-136.989,-134.269,-134.269,-119.847,-142.851,-129.423,-142.851,-155.67,-142.882,-155.67,-154.571,-146.153,-154.571,-152.556,-149.818,-155.437,-144.617,-154.477,-154.477,-141.827,-154.741,-154.741,-136.627,-149.977,-149.977,-141.803,-151.229,-151.229,-147.945,-147.945,-138.549,-148.423,-148.423,-135.052,-141.373,-141.373,-131.321,-149.147,-140.337,-149.147,-147.497,-147.497,-147.497,-134.228,-133.263,-139.333,-147.083,-134.035,-147.083,-145.546,-144.503,-149.656,-131.488,-143.556,-143.556,-127.556,-138.037,-138.037,-119.054,-119.054,-102.199,-136.824,-122.657,-136.824,-154.45,-141.708,-154.45,-153.224,-144.087,-153.224,-151.309,-152.917,-156.355,-145.822,-156.041,-156.041,-141.905,-154.512,-154.512,-138.914,-152.153,-152.153,-108.316,-118.006,-118.006,-141.677,-141.677,-131.668,-143.553,-143.553,-129.628,-141.171,-141.171,-130.542,-152.345,-143.716,-152.345,-149.208,-149.208,-149.208,-121.615,-131.774,-132.533,-147.669,-134.756,-147.669,-146.987,-146.176,-151.12,-135.443,-148.231,-148.231,-125.527,-139.236,-139.236,-117.712,-117.712,-99.3074,-139.72,-128.76,-139.72,-154.095,-141.14,-154.095,-154.79,-145.555,-154.79,-153.813,-150.748,-156.468,-144.432,-154.524,-154.524,-141.379,-154.349,-154.349,-137.823,-150.942,-150.942,-142.168,-150.541,-150.541,-144.997,-146.452,-138.71,-147.858,-147.858,-134.274,-142.329,-141.622,-133.461,-149.978,-142.737,-148.449,-148.172,-148.172,-148.172
-102.338,-113.515,-104.663,-142.129,-127.504,-142.129,-139.159,-146.027,-147.758,-130.612,-144.401,-144.401,-139.904,-145.166,-140.306,-152.25,-152.25,-138.472,-142.559,-140.571,-134.042,-158.822,-145.432,-158.822,-158.073,-147.411,-158.073,-147.441,-150.745,-153.522,-143.117,-155.21,-155.21,-145.677,-158.852,-158.852,-134.587,-145.283,-145.283,-152.51,-156.998,-152.73,-145.794,-145.794,-135.216,-144.477,-144.477,-131.303,-150.27,-150.27,-138.147,-148.0,-145.094,-142.001,-144.923,-144.923,-144.923,-125.47,-128.791,-118.335,-137.55,-123.641,-137.55,-129.721,-141.375,-141.375,-131.414,-145.214,-145.214,-143.32,-144.792,-136.819,-146.178,-146.178,-133.077,-140.883,-134.131,-136.918,-151.597,-138.268,-151.597,-148.637,-139.771,-148.637,-145.525,-145.315,-150.033,-138.326,-150.503,-150.503,-140.242,-153.32,-153.32,-139.02,-150.302,-150.302,-149.002,-154.316,-150.965,-153.733,-153.733,-143.194,-154.401,-154.401,-141.498,-148.007,-148.007,-135.236,-150.395,-148.161,-143.728,-144.052,-144.052,-144.052,-102.129,-119.314,-119.314,-139.367,-125.104,-139.367,-133.953,-138.451,-141.414,-124.495,-138.713,-138.713,-143.867,-145.461,-137.674,-140.656,-140.656,-127.138,-136.432,-134.5,-127.182,-149.9,-136.462,-149.9,-146.672,-136.696,-146.672,-144.514,-150.008,-151.562,-140.435,-152.629,-152.629,-139.333,-152.587,-152.587,-140.501,-152.187,-152.187,-147.633,-152.666,-148.819,-149.717,-149.717,-138.538,-151.17,-151.17,-137.965,-148.085,-148.085,-135.158,-153.169,-149.787,-147.765,-146.804,-146.804,-146.804,-115.852,-126.046,-120.986,-140.05,-125.778,-140.05,-136.756,-140.85,-143.798,-132.026,-145.565,-145.565,-137.12,-143.576,-139.87,-140.117,-140.117,-126.025,-142.446,-142.446,-132.597,-149.736,-136.331,-149.736,-148.989,-138.993,-148.989,-147.363,-146.492,-151.445,-138.347,-150.68,-150.68,-139.941,-152.984,-152.984,-140.8,-151.613,-151.613,-150.131,-154.113,-149.362,-152.455,-152.455,-142.675,-153.923,-153.923,-140.79,-148.219,-148.219,-135.865,-151.735,-151.107,-144.058,-145.722,-145.722,-145.722
-120.325,-128.39,-124.207,-119.309,-102.784,-119.309,-124.874,-138.082,-138.082,-124.459,-137.002,-137.002,-139.261,-144.673,-140.8,-162.218,-162.218,-150.142,-138.424,-138.424,-124.72,-144.706,-131.007,-144.706,-140.45,-133.415,-141.577,-132.196,-141.469,-141.469,-140.614,-153.683,-153.683,-147.968,-160.7,-160.7,-149.463,-159.365,-159.365,-150.871,-155.58,-151.831,-155.543,-155.543,-146.267,-157.459,-157.459,-144.859,-145.237,-145.237,-132.016,-148.698,-148.698,-139.533,-137.433,-137.433,-137.433,-134.569,-139.48,-133.262,-124.767,-109.94,-124.767,-129.635,-143.404,-143.404,-135.698,-148.771,-148.771,-146.766,-149.537,-143.194,-149.502,-149.502,-137.97,-136.657,-136.657,-125.521,-147.367,-133.753,-147.367,-141.57,-140.813,-146.096,-140.455,-148.909,-148.909,-138.86,-151.948,-151.948,-143.154,-155.697,-155.697,-143.359,-153.727,-153.727,-151.816,-157.197,-154.218,-156.304,-156.304,-146.904,-156.194,-156.194,-143.998,-148.974,-148.974,-135.481,-148.698,-148.698,-138.774,-138.686,-138.686,-138.686,-119.053,-132.563,-132.563,-128.076,-112.005,-128.076,-128.731,-141.218,-141.218,-132.13,-144.509,-144.509,-147.231,-150.044,-143.798,-145.406,-145.406,-134.274,-135.128,-135.128,-120.439,-145.137,-131.359,-145.137,-139.597,-136.986,-143.395,-141.157,-151.162,-151.162,-140.963,-153.928,-153.928,-142.051,-154.899,-154.899,-144.33,-155.192,-155.192,-150.665,-155.828,-152.468,-152.904,-152.904,-143.193,-153.266,-153.266,-140.867,-149.181,-149.181,-135.693,-151.433,-151.433,-143.104,-142.629,-142.629,-142.629,-130.431,-138.399,-135.282,-129.479,-113.553,-129.479,-131.681,-143.358,-143.358,-136.971,-149.44,-149.44,-142.56,-148.817,-145.831,-144.55,-144.55,-132.575,-141.589,-141.589,-128.133,-144.847,-131.036,-144.847,-143.726,-138.83,-146.023,-142.512,-149.602,-150.296,-139.065,-152.193,-152.193,-142.988,-155.449,-155.449,-144.827,-154.831,-154.831,-152.712,-157.007,-152.842,-124.744,-124.744,-116.18,-155.559,-155.559,-142.959,-148.868,-148.868,-135.444,-150.448,-150.448,-140.017,-141.342,-141.342,-141.342
-123.982,-123.982,-107.327,-137.821,-123.802,-137.821,-116.248,-120.602,-124.35,-120.048,-133.462,-133.462,-133.474,-135.359,-127.685,-150.414,-150.414,-136.682,-144.037,-144.037,-134.801,-149.569,-136.29,-149.569,-154.43,-142.589,-154.43,-147.498,-149.301,-153.004,-156.126,-168.56,-168.56,-143.73,-156.838,-156.838,-135.329,-144.904,-144.904,-143.824,-146.511,-140.611,-157.428,-157.428,-146.085,-167.344,-167.344,-154.196,-148.83,-148.83,-136.858,-150.959,-149.163,-144.247,-143.186,-143.186,-143.186,-132.271,-132.271,-118.392,-139.049,-127.137,-139.049,-124.976,-137.259,-137.259,-128.949,-142.827,-142.827,-145.804,-145.804,-135.854,-148.166,-148.166,-134.864,-143.661,-139.286,-137.812,-151.562,-138.363,-151.562,-146.899,-136.685,-146.899,-144.509,-142.131,-148.035,-135.857,-148.375,-148.375,-139.134,-152.058,-152.058,-139.316,-149.504,-149.504,-150.815,-154.442,-149.392,-154.652,-154.652,-143.438,-155.679,-155.679,-142.705,-150.227,-150.227,-137.694,-152.151,-151.062,-144.83,-145.17,-145.17,-145.17,-65.8675,-75.6215,-75.6215,-140.061,-126.919,-140.061,-130.985,-132.569,-137.575,-122.319,-135.808,-135.808,-146.403,-146.403,-136.669,-143.389,-143.389,-129.645,-140.523,-140.523,-130.627,-149.836,-136.517,-149.836,-144.895,-133.466,-144.895,-142.969,-147.226,-149.611,-138.316,-150.794,-150.794,-137.902,-151.14,-151.14,-140.465,-151.346,-151.346,-149.74,-152.856,-147.187,-150.978,-150.978,-139.086,-152.769,-152.769,-139.556,-150.286,-150.286,-137.608,-154.603,-152.246,-148.473,-147.878,-147.878,-147.878,-127.997,-127.997,-115.119,-140.504,-127.078,-140.504,-134.333,-135.92,-140.559,-130.423,-143.601,-143.601,-140.823,-143.9,-136.979,-143.171,-143.171,-129.201,-145.43,-145.43,-135.301,-149.854,-136.763,-149.854,-147.484,-136.268,-147.484,-146.521,-143.609,-149.644,-135.92,-148.594,-148.594,-138.878,-151.728,-151.728,-141.245,-150.955,-150.955,-152.212,-154.371,-148.061,-153.336,-153.336,-142.662,-155.311,-155.311,-142.199,-150.422,-150.422,-138.262,-153.406,-153.406,-145.276,-146.934,-146.934,-146.934
-106.311,-121.139,-121.139,-139.705,-125.608,-139.705,-126.684,-136.975,-136.975,-130.295,-143.873,-143.873,-138.665,-146.09,-144.113,-134.783,-134.783,-121.859,-136.007,-134.828,-125.947,-145.525,-132.204,-145.525,-141.801,-132.754,-141.801,-136.902,-143.342,-144.267,-134.055,-146.324,-146.324,-139.282,-152.379,-152.379,-141.65,-152.769,-152.769,-152.596,-158.421,-155.722,-160.729,-160.729,-151.422,-152.298,-152.298,-139.33,-147.158,-147.158,-134.385,-139.107,-136.322,-132.757,-138.091,-138.091,-138.091,-123.038,-132.48,-129.325,-134.103,-118.991,-134.103,-132.12,-144.332,-144.332,-134.324,-147.904,-147.904,-141.522,-145.981,-140.614,-145.752,-145.752,-133.631,-136.502,-128.836,-132.428,-150.657,-137.355,-150.657,-147.31,-142.358,-149.322,-144.941,-148.462,-151.155,-140.018,-152.35,-152.35,-141.962,-154.979,-154.979,-140.466,-152.089,-152.089,-148.755,-155.263,-153.462,-153.926,-153.926,-144.474,-153.934,-153.934,-141.385,-146.186,-146.186,-132.787,-148.15,-146.165,-141.019,-141.733,-141.733,-141.733,-113.905,-129.565,-129.565,-137.001,-122.392,-137.001,-134.34,-143.728,-143.728,-128.678,-142.561,-142.561,-142.174,-146.616,-141.336,-140.3,-140.3,-128.437,-97.7571,-97.0588,-86.2799,-148.902,-135.544,-148.902,-146.304,-139.297,-147.266,-144.641,-152.816,-152.816,-141.953,-154.268,-154.268,-141.171,-154.332,-154.332,-141.925,-153.83,-153.83,-147.294,-153.688,-151.554,-149.902,-149.902,-140.061,-150.526,-150.526,-137.673,-146.342,-146.342,-132.85,-151.288,-147.946,-145.639,-144.747,-144.747,-144.747,-119.25,-132.137,-132.137,-137.992,-123.614,-137.992,-136.932,-145.763,-145.763,-134.782,-148.173,-148.173,-137.116,-145.518,-144.853,-139.197,-139.197,-126.202,-138.815,-138.815,-127.582,-148.548,-135.033,-148.548,-149.43,-141.126,-149.442,-146.719,-149.325,-152.437,-140.073,-152.525,-152.525,-141.682,-154.673,-154.673,-142.012,-153.229,-153.229,-149.592,-154.969,-151.76,-152.821,-152.821,-144.365,-153.285,-153.285,-140.342,-146.281,-146.281,-133.202,-149.718,-149.57,-141.517,-143.467,-143.467,-143.467
-132.775,-132.775,-120.056,-151.231,-137.237,-151.231,-123.47,-136.149,-136.149,-127.755,-139.879,-139.879,-152.584,-154.543,-147.344,-152.383,-152.383,-139.111,-142.312,-142.312,-130.636,-152.355,-138.979,-152.355,-142.901,-131.502,-142.901,-152.552,-158.974,-160.177,-123.115,-136.282,-136.282,-140.884,-153.594,-153.594,-147.899,-156.771,-156.771,-160.719,-163.358,-157.575,-152.398,-152.398,-141.578,-160.721,-160.721,-147.734,-143.492,-143.492,-130.864,-155.685,-155.685,-147.329,-146.532,-146.532,-146.532,-137.687,-137.687,-125.983,-135.171,-125.161,-133.979,-123.363,-137.601,-137.601,-131.891,-144.967,-144.967,-148.513,-148.513,-139.295,-150.005,-150.005,-137.224,-142.601,-142.311,-133.523,-149.335,-136.062,-149.335,-144.418,-135.304,-144.418,-140.379,-142.876,-146.462,-135.614,-148.811,-148.811,-140.903,-153.354,-153.354,-142.163,-151.547,-151.547,-152.64,-156.127,-151.106,-156.153,-156.153,-145.396,-156.779,-156.779,-144.047,-150.971,-150.971,-137.916,-151.739,-151.739,-142.752,-143.139,-143.139,-143.139,-114.411,-122.954,-114.486,-135.756,-123.248,-135.756,-124.268,-135.453,-135.453,-128.437,-139.917,-139.917,-149.028,-149.028,-139.98,-145.835,-145.835,-132.838,-140.503,-140.503,-128.004,-147.332,-133.909,-147.332,-141.815,-131.17,-141.815,-139.973,-148.64,-148.64,-138.155,-151.192,-151.192,-139.507,-152.37,-152.37,-142.942,-153.102,-153.102,-151.69,-154.708,-149.139,-152.797,-152.797,-141.488,-154.022,-154.022,-141.053,-151.085,-151.085,-137.957,-154.105,-153.823,-146.422,-146.275,-146.275,-146.275,-134.376,-135.149,-124.887,-136.149,-123.035,-136.149,-128.638,-138.697,-138.697,-133.878,-145.999,-145.999,-144.081,-147.016,-140.469,-145.414,-145.414,-131.979,-145.503,-145.503,-133.563,-147.418,-134.333,-147.418,-144.89,-134.336,-144.89,-142.745,-144.15,-148.178,-135.837,-149.096,-149.096,-140.752,-153.086,-153.086,-143.862,-152.857,-152.857,-153.895,-156.062,-149.907,-155.009,-155.009,-144.826,-156.336,-156.336,-143.376,-151.03,-151.03,-138.199,-153.143,-153.143,-143.59,-145.313,-145.313,-145.313
-101.964,-118.083,-118.083,-129.222,-116.477,-129.222,-140.984,-150.428,-150.428,-138.132,-151.766,-151.766,-142.601,-151.919,-151.919,-138.432,-138.432,-125.734,-136.261,-129.838,-129.331,-148.378,-135.363,-148.378,-149.065,-140.527,-149.065,-153.959,-159.845,-161.019,-139.516,-151.359,-151.359,-138.001,-151.113,-151.113,-141.341,-153.133,-153.133,-145.642,-152.631,-151.369,-153.597,-153.597,-145.038,-148.716,-148.716,-135.719,-149.186,-149.186,-136.49,-137.666,-133.025,-132.845,-143.45,-143.45,-143.45,-118.151,-131.545,-131.545,-136.61,-122.115,-136.61,-134.949,-146.359,-146.359,-135.514,-148.95,-148.95,-138.18,-144.868,-141.702,-143.549,-143.549,-131.797,-135.281,-124.048,-135.281,-151.686,-138.638,-151.686,-148.879,-144.435,-151.064,-146.756,-149.938,-152.722,-141.588,-153.506,-153.506,-142.423,-155.517,-155.517,-140.016,-152.264,-152.264,-147.221,-154.82,-154.505,-152.833,-152.833,-143.995,-152.544,-152.544,-140.044,-143.809,-143.809,-130.312,-146.94,-142.908,-141.329,-142.244,-142.244,-142.244,-119.917,-133.703,-133.703,-139.476,-125.741,-139.476,-137.427,-145.951,-146.084,-129.829,-143.762,-143.762,-138.969,-145.547,-142.38,-137.362,-137.362,-126.408,-126.232,-118.174,-118.746,-150.095,-137.074,-150.095,-147.919,-141.72,-149.216,-146.383,-154.144,-154.202,-143.319,-155.281,-155.281,-141.853,-154.987,-154.987,-141.666,-154.055,-154.055,-145.572,-153.186,-152.674,-148.474,-148.474,-139.398,-148.774,-148.774,-135.937,-143.969,-143.969,-130.344,-150.413,-145.457,-146.2,-144.919,-144.919,-144.919,-117.891,-132.805,-132.805,-140.419,-126.941,-140.419,-139.639,-147.421,-147.868,-135.496,-148.989,-148.989,-134.781,-144.987,-144.987,-135.722,-135.722,-123.124,-135.841,-134.501,-126.078,-149.647,-136.358,-149.647,-150.724,-143.267,-151.143,-148.364,-150.735,-153.892,-141.592,-153.647,-153.647,-142.107,-155.199,-155.199,-141.448,-153.324,-153.324,-147.867,-154.424,-152.589,-151.03,-151.752,-144.139,-151.797,-151.797,-138.827,-143.977,-143.977,-130.916,-148.481,-146.465,-141.414,-143.592,-143.592,-143.592
