node,x,y,m1,m2
BS1,0,0,10,5
BS1,0,0,10,5
BS1,0,0,10,5
BS1,999.364,0,10,5
BS1,999.364,0,10,5
BS1,999.364,0,10,5
BS1,499.682,-865.5,10,5
BS1,499.682,-865.5,10,5
BS1,499.682,-865.5,10,5
BS1,-499.682,-865.5,10,5
BS1,-499.682,-865.5,10,5
BS1,-499.682,-865.5,10,5
BS1,-999.364,0,10,5
BS1,-999.364,0,10,5
BS1,-999.364,0,10,5
BS1,-499.682,865.5,10,5
BS1,-499.682,865.5,10,5
BS1,-499.682,865.5,10,5
BS1,499.682,865.5,10,5
BS1,499.682,865.5,10,5
BS1,499.682,865.5,10,5
BS1,1998.73,0,10,5
BS1,1998.73,0,10,5
BS1,1998.73,0,10,5
BS1,1499.05,-865.5,10,5
BS1,1499.05,-865.5,10,5
BS1,1499.05,-865.5,10,5
BS1,999.364,-1731,10,5
BS1,999.364,-1731,10,5
BS1,999.364,-1731,10,5
BS1,0,-1731,10,5
BS1,0,-1731,10,5
BS1,0,-1731,10,5
BS1,-999.364,-1731,10,5
BS1,-999.364,-1731,10,5
BS1,-999.364,-1731,10,5
BS1,-1499.05,-865.5,10,5
BS1,-1499.05,-865.5,10,5
BS1,-1499.05,-865.5,10,5
BS1,-1998.73,0,10,5
BS1,-1998.73,0,10,5
BS1,-1998.73,0,10,5
BS1,-1499.05,865.5,10,5
BS1,-1499.05,865.5,10,5
BS1,-1499.05,865.5,10,5
BS1,-999.364,1731,10,5
BS1,-999.364,1731,10,5
BS1,-999.364,1731,10,5
BS1,0,1731,10,5
BS1,0,1731,10,5
BS1,0,1731,10,5
BS1,999.364,1731,10,5
BS1,999.364,1731,10,5
BS1,999.364,1731,10,5
BS1,1499.05,865.5,10,5
BS1,1499.05,865.5,10,5
BS1,1499.05,865.5,10,5
BS2,49.5515,-256.564,10,5
BS2,49.5515,-256.564,10,5
BS2,49.5515,-256.564,10,5
BS2,1145.22,-148.072,10,5
BS2,1145.22,-148.072,10,5
BS2,1145.22,-148.072,10,5
BS2,513.817,-879.098,10,5
BS2,513.817,-879.098,10,5
BS2,513.817,-879.098,10,5
BS2,-266.179,-904.012,10,5
BS2,-266.179,-904.012,10,5
BS2,-266.179,-904.012,10,5
BS2,-995.936,-152.557,10,5
BS2,-995.936,-152.557,10,5
BS2,-995.936,-152.557,10,5
BS2,-538.766,695.296,10,5
BS2,-538.766,695.296,10,5
BS2,-538.766,695.296,10,5
BS2,223.161,786.156,10,5
BS2,223.161,786.156,10,5
BS2,223.161,786.156,10,5
BS2,1967.83,48.8443,10,5
