Token,X,Y,Z
BS1,0,0,10
BS1,0,0,10
BS1,0,0,10
BS1,999.364,0,10
BS1,999.364,0,10
BS1,999.364,0,10
BS1,499.682,-865.5,10
BS1,499.682,-865.5,10
BS1,499.682,-865.5,10
BS1,-499.682,-865.5,10
BS1,-499.682,-865.5,10
BS1,-499.682,-865.5,10
BS1,-999.364,0,10
BS1,-999.364,0,10
BS1,-999.364,0,10
BS1,-499.682,865.5,10
BS1,-499.682,865.5,10
BS1,-499.682,865.5,10
BS1,499.682,865.5,10
BS1,499.682,865.5,10
BS1,499.682,865.5,10
BS1,1998.73,0,10
BS1,1998.73,0,10
BS1,1998.73,0,10
BS1,1499.05,-865.5,10
BS1,1499.05,-865.5,10
BS1,1499.05,-865.5,10
BS1,999.364,-1731,10
BS1,999.364,-1731,10
BS1,999.364,-1731,10
BS1,0,-1731,10
BS1,0,-1731,10
BS1,0,-1731,10
BS1,-999.364,-1731,10
BS1,-999.364,-1731,10
BS1,-999.364,-1731,10
BS1,-1499.05,-865.5,10
BS1,-1499.05,-865.5,10
BS1,-1499.05,-865.5,10
BS1,-1998.73,0,10
BS1,-1998.73,0,10
BS1,-1998.73,0,10
BS1,-1499.05,865.5,10
BS1,-1499.05,865.5,10
BS1,-1499.05,865.5,10
BS1,-999.364,1731,10
BS1,-999.364,1731,10
BS1,-999.364,1731,10
BS1,0,1731,10
BS1,0,1731,10
BS1,0,1731,10
BS1,999.364,1731,10
BS1,999.364,1731,10
BS1,999.364,1731,10
BS1,1499.05,865.5,10
BS1,1499.05,865.5,10
BS1,1499.05,865.5,10
BS2,197.259,29.0897,10
BS2,197.259,29.0897,10
BS2,197.259,29.0897,10
BS2,914.055,-7.19312,10
BS2,914.055,-7.19312,10
BS2,914.055,-7.19312,10
BS2,506.605,-955.469,10
BS2,506.605,-955.469,10
BS2,506.605,-955.469,10
BS2,-583.148,-799.378,10
BS2,-583.148,-799.378,10
BS2,-583.148,-799.378,10
BS2,-915.307,100.151,10
BS2,-915.307,100.151,10
BS2,-915.307,100.151,10
BS2,-658.57,962.738,10
BS2,-658.57,962.738,10
BS2,-658.57,962.738,10
BS2,401.742,827.846,10
BS2,401.742,827.846,10
BS2,401.742,827.846,10
BS2,2054.21,133.988,10
BS2,2054.21,133.988,10
BS2,2054.21,133.988,10
BS2,1501.25,-896.647,10
BS2,1501.25,-896.647,10
BS2,1501.25,-896.647,10
BS2,902.368,-1571.7,10
BS2,902.368,-1571.7,10
BS2,902.368,-1571.7,10
BS2,-61.6626,-1893.66,10
BS2,-61.6626,-1893.66,10
BS2,-61.6626,-1893.66,10
BS2,-946.618,-1566.84,10
BS2,-946.618,-1566.84,10
BS2,-946.618,-1566.84,10
BS2,-1401.76,-786.659,10
BS2,-1401.76,-786.659,10
BS2,-1401.76,-786.659,10
BS2,-1964.91,-123.114,10
BS2,-1964.91,-123.114,10
BS2,-1964.91,-123.114,10
BS2,-1389.94,931.241,10
BS2,-1389.94,931.241,10
BS2,-1389.94,931.241,10
BS2,-1047.63,1685.66,10
BS2,-1047.63,1685.66,10
BS2,-1047.63,1685.66,10
BS2,-58.9836,1774.1,10
BS2,-58.9836,1774.1,10
BS2,-58.9836,1774.1,10
BS2,977.968,1808.55,10
BS2,977.968,1808.55,10
BS2,977.968,1808.55,10
BS2,1412.95,1007.05,10
BS2,1412.95,1007.05,10
BS2,1412.95,1007.05,10
BS3,-129.882,46.523,10
BS3,-129.882,46.523,10
BS3,-129.882,46.523,10
BS3,1139.38,121.284,10
BS3,1139.38,121.284,10
BS3,1139.38,121.284,10
BS3,408.927,-728.955,10
BS3,408.927,-728.955,10
BS3,408.927,-728.955,10
BS3,-402.02,-757.346,10
BS3,-402.02,-757.346,10
BS3,-402.02,-757.346,10
BS3,-938.443,179.063,10
BS3,-938.443,179.063,10
BS3,-938.443,179.063,10
BS3,-637.223,815.734,10
BS3,-637.223,815.734,10
BS3,-637.223,815.734,10
BS3,508.427,766.369,10
BS3,508.427,766.369,10
BS3,508.427,766.369,10
BS3,1948.2,189.811,10
BS3,1948.2,189.811,10
BS3,1948.2,189.811,10
BS3,1625.3,-872.77,10
BS3,1625.3,-872.77,10
BS3,1625.3,-872.77,10
BS3,889.518,-1592.17,10
BS3,889.518,-1592.17,10
BS3,889.518,-1592.17,10
BS3,46.9028,-1855.55,10
BS3,46.9028,-1855.55,10
BS3,46.9028,-1855.55,10
BS3,-950.587,-1609.7,10
BS3,-950.587,-1609.7,10
BS3,-950.587,-1609.7,10
BS3,-1644.24,-915.163,10
BS3,-1644.24,-915.163,10
BS3,-1644.24,-915.163,10
BS3,-2169.37,-68.507,10
BS3,-2169.37,-68.507,10
BS3,-2169.37,-68.507,10
BS3,-1498.44,676.003,10
BS3,-1498.44,676.003,10
BS3,-1498.44,676.003,10
BS3,-1086.13,1713.59,10
BS3,-1086.13,1713.59,10
BS3,-1086.13,1713.59,10
BS3,-112.57,1845.6,10
BS3,-112.57,1845.6,10
BS3,-112.57,1845.6,10
BS3,1159.19,1786.98,10
BS3,1159.19,1786.98,10
BS3,1159.19,1786.98,10
BS3,1463.65,944.344,10
BS3,1463.65,944.344,10
BS3,1463.65,944.344,10
BS4,1.96781,143.508,10
BS4,1.96781,143.508,10
BS4,1.96781,143.508,10
BS4,1155.83,87.4225,10
BS4,1155.83,87.4225,10
BS4,1155.83,87.4225,10
BS4,674.609,-808.891,10
BS4,674.609,-808.891,10
BS4,674.609,-808.891,10
BS4,-388.722,-828.94,10
BS4,-388.722,-828.94,10
BS4,-388.722,-828.94,10
BS4,-984.455,-37.9184,10
BS4,-984.455,-37.9184,10
BS4,-984.455,-37.9184,10
BS4,-504.281,784.106,10
BS4,-504.281,784.106,10
BS4,-504.281,784.106,10
BS4,566.93,733.549,10
BS4,566.93,733.549,10
BS4,566.93,733.549,10
BS4,1980.29,-15.0573,10
BS4,1980.29,-15.0573,10
BS4,1980.29,-15.0573,10
BS4,1578.47,-877.731,10
BS4,1578.47,-877.731,10
BS4,1578.47,-877.731,10
BS4,882.436,-1819.24,10
BS4,882.436,-1819.24,10
BS4,882.436,-1819.24,10
BS4,118.788,-1725.96,10
BS4,118.788,-1725.96,10
BS4,118.788,-1725.96,10
BS4,-1133.72,-1672.03,10
BS4,-1133.72,-1672.03,10
BS4,-1133.72,-1672.03,10
BS4,-1670.29,-920.148,10
BS4,-1670.29,-920.148,10
BS4,-1670.29,-920.148,10
BS4,-1935.61,141.873,10
BS4,-1935.61,141.873,10
BS4,-1935.61,141.873,10
BS4,-1638.84,843.634,10
BS4,-1638.84,843.634,10
BS4,-1638.84,843.634,10
BS4,-956.172,1560.6,10
BS4,-956.172,1560.6,10
BS4,-956.172,1560.6,10
BS4,185.729,1749.14,10
BS4,185.729,1749.14,10
BS4,185.729,1749.14,10
BS4,953.911,1707.63,10
BS4,953.911,1707.63,10
BS4,953.911,1707.63,10
BS4,1465.2,710.89,10
BS4,1465.2,710.89,10
BS4,1465.2,710.89,10
UE4,-50,0,1.5
UE3,-100,0,1.5
UE3,-150,0,1.5
UE3,-200,0,1.5
UE3,-250,0,1.5
UE4,-300,0,1.5
UE2,-350,0,1.5
UE4,-400,0,1.5
UE2,-450,0,1.5
UE4,-500,0,1.5
UE1,-550,0,1.5
UE4,-600,0,1.5
UE3,-650,0,1.5
UE1,-700,0,1.5
UE2,-750,0,1.5
UE1,-800,0,1.5
UE1,-850,0,1.5
UE2,-900,0,1.5
UE4,-950,0,1.5
UE1,-1050,0,1.5
UE3,-1100,0,1.5
UE3,-1150,0,1.5
UE3,-1200,0,1.5
UE2,-1250,0,1.5
UE3,-1300,0,1.5
UE3,-1350,0,1.5
UE3,-1400,0,1.5
UE4,-1450,0,1.5
UE1,-1500,0,1.5
UE2,-1550,0,1.5
UE4,-1600,0,1.5
UE1,-1650,0,1.5
UE3,-1700,0,1.5
UE2,-1750,0,1.5
UE3,-1800,0,1.5
UE2,-1850,0,1.5
UE3,-1900,0,1.5
UE4,-1950,0,1.5
UE2,-2050,0,1.5
UE4,-2100,0,1.5
UE1,-2150,0,1.5
UE3,-2200,0,1.5
UE1,-2250,0,1.5
UE2,-2300,0,1.5
UE4,-2350,0,1.5
UE4,-2400,0,1.5
UE1,-2450,0,1.5
UE1,-2500,0,1.5
UE3,-2550,0,1.5
UE1,-2600,0,1.5
UE4,-2650,0,1.5
UE4,50,0,1.5
UE2,100,0,1.5
UE2,150,0,1.5
UE1,200,0,1.5
UE4,250,0,1.5
UE3,300,0,1.5
UE3,350,0,1.5
UE4,400,0,1.5
UE2,450,0,1.5
UE4,500,0,1.5
UE2,550,0,1.5
UE4,600,0,1.5
UE1,650,0,1.5
UE2,700,0,1.5
UE1,750,0,1.5
UE2,800,0,1.5
UE1,850,0,1.5
UE1,950,0,1.5
UE4,1050,0,1.5
UE2,1100,0,1.5
UE1,1150,0,1.5
UE2,1200,0,1.5
UE3,1250,0,1.5
UE1,1300,0,1.5
UE1,1350,0,1.5
UE2,1400,0,1.5
UE2,1450,0,1.5
UE3,1500,0,1.5
UE3,1550,0,1.5
UE3,1600,0,1.5
UE1,1650,0,1.5
UE4,1700,0,1.5
UE4,1750,0,1.5
UE4,1800,0,1.5
UE1,1850,0,1.5
UE3,1900,0,1.5
UE4,1950,0,1.5
UE1,2050,0,1.5
UE3,2100,0,1.5
UE4,2150,0,1.5
UE3,2200,0,1.5
UE1,2250,0,1.5
UE1,2300,0,1.5
UE4,2350,0,1.5
UE1,2400,0,1.5
UE1,2450,0,1.5
UE2,2500,0,1.5
