X,Y,RxPow
-179.1,155.22,-23.028
59.504,-269.21,-34.871
23.426,-454.49,-42.24
63.519,-374.7,-38.214
-303.38,-97.09,-37.063
-16.737,-31.216,-10.787
272.06,304.81,-35.405
-281.06,29.421,-27.681
233.13,-73.738,-21.591
-70.334,1.3609,-13.473
-257.9,-453.65,-37.167
35.689,-418.5,-41.835
160.29,-561.38,-38.729
117.19,247.13,-28.13
246.84,-645.62,-31.681
400.14,-153.3,-35.675
-281.73,-122.86,-34.5
48.601,157.3,-20.186
234.49,-22.741,-16.331
-283.37,-100.02,-34.769
-29.801,-608.95,-41.135
87.387,-618.14,-39.912
-63.776,17.609,-14.768
-202.05,-180.03,-39.716
340.64,472.31,-39.563
-173.24,-470.01,-39.252
492.21,-142.73,-39.27
255.66,403.61,-38.896
566.91,7.7532,-38.773
672.21,44.947,-34.708
-402.44,-32.749,-36.94
205.9,-80.482,-22.782
-86.297,-270.39,-37.055
284.48,396.75,-41.337
-67.551,352.19,-34.569
126.91,0.98155,-17.963
119.31,-202.9,-28.83
353.5,-171.28,-36.063
181.94,317.9,-34.979
-174.59,-251.48,-39.721
-88.117,-12.227,-12.627
137.06,299.98,-32.321
-221.49,-171.35,-34.224
438.82,266.05,-40.012
413.27,-104.4,-37.956
-112.34,201.38,-23.747
339.01,224.5,-35.118
-331,6.2717,-32.564
-67.281,-491.84,-40.714
-404.6,-20.005,-34.845
-263.2,213.38,-33.84
346.49,-52.643,-30.684
550.48,-488.07,-35.85
198.84,115.78,-19.86
-272.93,190.27,-32.714
-332.3,-276.14,-39.362
691.36,-38.776,-32.888
28.189,327.3,-29.87
29.576,283.27,-25.793
395.12,137.21,-35.107
-111.6,-370.73,-39.252
203.02,-590.5,-39.158
340.92,-296.72,-38.376
-210.27,-250.64,-42.008
285.35,-140.3,-29.981
-157.62,-120.06,-28.787
452.89,-392.74,-39.795
-268.25,155.06,-30.272
-294.17,-41.997,-31.472
488.7,-521.51,-32.271
-181.01,40.96,-16.413
233.33,-462.52,-41.754
186.14,85.443,-17.303
593.11,-51.616,-37.474
-35.95,-111.52,-25.441
282.25,-274.02,-35.475
-142.52,-393.53,-40.259
551.94,-194.03,-39.899
364.53,-444.32,-41.518
667.78,-60.714,-35.058
-205.12,-264.11,-39.236
511.16,95.411,-36.922
538.53,93.148,-37.959
362.55,308.02,-38.451
225.06,-4.6685,-17.397
-260.22,38.345,-23.246
-87.078,35.446,-16.504
614.59,77.566,-35.542
112.36,55.916,-16.644
301.5,435.84,-39.251
211.32,34.773,-5.5292
690.96,-86.645,-34.219
-200.28,-500.49,-36.856
46.53,296.81,-27.273
-144.49,-18.018,-21.601
198.09,41.812,-3.0862
320.38,-345.29,-38.634
-375.99,-25.009,-36.358
263.77,-535.9,-40.919
-366.18,72.379,-32.822
1286.4,-383.96,-41.077
813.82,-434.94,-36.25
1014.9,491.51,-41.604
1501.3,77.21,-41.852
905.87,-378.75,-40.899
1187.4,559.48,-41.71
1507.3,375.54,-40.565
1189.6,340.15,-31.983
1211.9,-167.83,-32.432
1005.4,-221.79,-34.79
1565.8,-39.725,-38.008
1521.1,-201.16,-40.228
939.56,364.96,-38.292
862.54,420.78,-38.046
1114,-404.31,-40.959
812.63,150.42,-35.443
1349.1,-31.551,-33.512
891.35,-9.5694,-18.203
1542.1,-246.8,-41.519
816.56,-202.23,-38.435
1291.9,514.47,-40.679
848.02,8.8199,-17.129
721.71,-162.11,-36.859
1115.6,-318.26,-34.939
1359.7,-299.46,-39.772
724.58,-227.42,-38.5
1239.5,-400.78,-40.924
1187.4,193.35,-14.78
1585.4,222.47,-39.34
1707,-63.002,-35.862
1471.7,249,-39.505
1133.3,156.93,-23.358
674.21,12.734,-33.024
958.25,275.45,-32.754
847.43,437.2,-39.575
1607.6,-146.48,-40.372
1240.5,-382.44,-42.42
1495.4,-129.04,-40.051
1368.5,428.52,-39.058
1142.8,-64.25,-25.367
1459.5,-8.0643,-37.628
1448.8,-437.21,-39.094
1136.6,-164.81,-32.516
1562.9,-352.94,-43.186
1031.5,-511.68,-43.583
737.59,-254.74,-41.451
1089.7,531.98,-42.123
1613.8,-288.61,-43.141
1103.5,-285.8,-38.153
1257.3,120.83,-23.278
1248,191.14,-22.3
813.78,-426.52,-41.398
791.15,-167.82,-37.514
1047.4,476.17,-37.451
1305.6,545.69,-40.983
1228.3,-266.75,-38.637
1458.1,360.88,-41.217
1719.9,-72.92,-33.991
1011.2,-503.93,-39.774
937.21,-258.09,-37.17
1141.2,-257.93,-38.378
1326.5,559.22,-37.413
1358.4,108.41,-34.048
1273.1,-510.19,-41.437
773.67,371.21,-40.164
1459.6,-357.14,-42.406
1558.6,167.99,-39.679
775.47,-189.18,-35.845
1697.4,183.57,-34.722
970.58,201.51,-27.104
1266.8,-215.46,-35.234
632.48,38.972,-37.196
1213.1,-395.73,-42.304
1309.3,-372.31,-41.303
1024.5,332.84,-35.232
1262.1,-98.915,-30.917
1095.7,-104.2,-24.913
1668.5,121.73,-35.044
1421.1,466.97,-40.515
763.7,-48.396,-25.8
1224.5,-351.19,-40.111
1493.5,431.37,-42.172
1494.9,-388.4,-42.264
656.57,118.96,-36.99
736.9,-272.29,-39.667
1335.3,328.24,-34.766
1667.7,-1.1572,-36.101
926.44,423.29,-39.83
1329.2,163.91,-30.419
1291.8,379.59,-34.815
1065.5,-52.987,-18.825
943.85,-14.435,-15.089
1509.2,286.69,-39.005
1459.8,-169.02,-39.818
946.84,283.33,-34.307
1324.2,-161.54,-37.245
1212.9,-63.78,-25.213
1646,-115.68,-36.65
1154.6,-376.18,-40.637
894.31,-128.96,-26.245
774.93,-784.21,-26.367
466.27,-610.01,-23.85
837.77,-773.75,-36.611
222.41,-464.32,-40.03
687.62,-1024.3,-28.864
801.91,-593.14,-35.498
259.64,-1244.9,-40.707
296.02,-435.23,-41.202
218.12,-938.38,-34.687
-16.134,-1081.8,-42.042
286.85,-1187.1,-43.089
648.83,-936.28,-25.355
164.72,-1079.8,-40.771
679.72,-800.01,1.3975
-39.22,-893.26,-40.619
28.737,-590.17,-41.976
781.11,-812.13,-25.176
375.85,-995.71,-23.56
287.75,-716.13,-23.817
108.99,-1019.4,-40.702
-124.88,-860.46,-37.082
577.76,-734.43,-22.642
589.42,-622.58,-29.363
445.42,-1343,-41.023
43.038,-701.28,-39.801
357.96,-652.61,-23.735
242.44,-1108.6,-40.749
61.335,-716.01,-39.156
-16.983,-737.17,-40.967
